Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Agincourt North,Toronto,129,29113,7070,0.242846838,120,0.00412187,20570,0.706557208,12925,0.443959743,15880,0.545460791,1635,10,15,10,390,0,500,15,40,220,130,325,675,0,10,0,35,100,10,10,65,0,10,55,10,0,0,0,210,135,0,115,0,65,10,15,10,30,210,17220,40,35,8630,2450,945,35,70,45,65,20,295,1180,2210,10,115,495,600,20,0.056160478,0.000343489,0.000515234,0.000343489,0.013396077,0,0.017174458,0.000515234,0.001373957,0.007556762,0.004465359,0.011163398,0.023185518,0,0.000343489,0,0.001202212,0.003434892,0.000343489,0.000343489,0.00223268,0,0.000343489,0.00188919,0.000343489,0,0,0,0.007213272,0.004637104,0,0.003950125,0,0.00223268,0.000343489,0.000515234,0.000343489,0.001030467,0.007213272,0.591488339,0.001373957,0.001202212,0.296431148,0.084154845,0.032459726,0.001202212,0.002404424,0.001545701,0.00223268,0.000686978,0.01013293,0.040531721,0.075911105,0.000343489,0.003950125,0.017002714,0.02060935,0.000686978
Agincourt South-Malvern West,Toronto,128,23757,7080,0.298017426,140,0.005893,15505,0.652649745,10410,0.43818664,13065,0.549943175,1415,15,10,30,295,20,395,10,15,240,115,285,1075,0,0,0,65,200,20,0,300,0,35,10,30,30,25,20,200,135,10,50,20,55,0,10,45,10,155,12240,150,145,5920,1255,980,90,75,25,65,50,435,1030,1070,40,140,330,460,0,0.059561392,0.000631393,0.000420929,0.001262786,0.012417393,0.000841857,0.016626678,0.000420929,0.000631393,0.010102286,0.004840679,0.011996464,0.045249821,0,0,0,0.002736036,0.008418571,0.000841857,0,0.012627857,0,0.00147325,0.000420929,0.001262786,0.001262786,0.001052321,0.000841857,0.008418571,0.005682536,0.000420929,0.002104643,0.000841857,0.002315107,0,0.000420929,0.001894179,0.000420929,0.006524393,0.515216568,0.006313929,0.006103464,0.249189713,0.052826535,0.041251,0.003788357,0.003156964,0.001052321,0.002736036,0.002104643,0.018310393,0.043355643,0.045039357,0.001683714,0.005893,0.013890643,0.019362714,0
Alderwood,Toronto,20,12054,7360,0.610585698,105,0.008710801,4205,0.348846856,2545,0.211133234,9490,0.787290526,450,30,15,20,80,0,45,25,0,50,75,110,2380,65,105,15,95,20,30,20,370,20,485,250,60,35,35,245,200,335,0,10,10,10,0,0,10,0,55,1035,0,0,110,10,230,0,0,10,40,35,15,420,25,0,0,35,85,10,0.037332006,0.0024888,0.0012444,0.0016592,0.006636801,0,0.003733201,0.002074,0,0.004148001,0.006222001,0.009125601,0.197444832,0.005392401,0.008710801,0.0012444,0.007881201,0.0016592,0.0024888,0.0016592,0.030695205,0.0016592,0.040235606,0.020740003,0.004977601,0.0029036,0.0029036,0.020325203,0.016592003,0.027791604,0,0.0008296,0.0008296,0.0008296,0,0,0.0008296,0,0.004562801,0.085863614,0,0,0.009125601,0.0008296,0.019080803,0,0,0.0008296,0.003318401,0.0029036,0.0012444,0.034843206,0.002074,0,0,0.0029036,0.007051601,0.0008296
Annex,Toronto,95,30526,20645,0.67630872,705,0.023095067,7755,0.254045732,8745,0.286477101,19935,0.653049859,1630,60,40,10,45,0,175,60,60,80,780,295,2895,45,40,145,235,150,100,80,310,50,145,165,105,145,65,90,655,355,0,75,70,20,40,20,10,180,230,3045,25,55,620,230,210,350,35,90,365,20,135,175,30,20,120,70,515,85,0.053397104,0.001965538,0.001310358,0.00032759,0.001474153,0,0.005732818,0.001965538,0.001965538,0.002620717,0.025551988,0.009663893,0.094837188,0.001474153,0.001310358,0.004750049,0.007698356,0.004913844,0.003275896,0.002620717,0.010155277,0.001637948,0.004750049,0.005405228,0.003439691,0.004750049,0.002129332,0.002948306,0.021457119,0.011629431,0,0.002456922,0.002293127,0.000655179,0.001310358,0.000655179,0.00032759,0.005896613,0.007534561,0.099751032,0.000818974,0.001801743,0.020310555,0.007534561,0.006879382,0.011465636,0.001146564,0.002948306,0.01195702,0.000655179,0.00442246,0.005732818,0.000982769,0.000655179,0.003931075,0.002293127,0.016870864,0.002784512
Banbury-Don Mills,Toronto,42,27695,13985,0.504964795,410,0.014804116,12060,0.435457664,6845,0.247156526,20165,0.728109767,1335,40,100,10,155,0,220,50,0,225,300,230,3495,120,50,25,200,170,115,40,95,65,200,65,415,135,260,50,685,790,10,225,35,150,35,30,10,80,485,7255,35,75,1910,870,690,730,55,25,385,120,365,850,165,60,135,100,610,45,0.048203647,0.001444304,0.00361076,0.000361076,0.005596678,0,0.007943672,0.00180538,0,0.00812421,0.01083228,0.008304748,0.126196064,0.004332912,0.00180538,0.00090269,0.00722152,0.006138292,0.004152374,0.001444304,0.003430222,0.002346994,0.00722152,0.002346994,0.014984654,0.004874526,0.009387976,0.00180538,0.024733706,0.028525005,0.000361076,0.00812421,0.001263766,0.00541614,0.001263766,0.001083228,0.000361076,0.002888608,0.017512186,0.261960643,0.001263766,0.00270807,0.068965517,0.031413613,0.024914244,0.026358548,0.001985918,0.00090269,0.013901426,0.004332912,0.013179274,0.030691461,0.005957754,0.002166456,0.004874526,0.00361076,0.022025636,0.001624842
Bathurst Manor,Toronto,34,15873,6710,0.422730423,165,0.01039501,8140,0.512820513,5285,0.332955333,10300,0.648900649,920,30,120,35,55,0,140,50,20,35,115,335,3160,60,20,30,55,190,110,0,485,0,210,130,135,640,65,535,100,390,10,50,20,10,50,10,10,45,75,3680,15,45,305,25,205,190,55,10,170,40,45,1565,50,40,0,85,825,10,0.057960058,0.001890002,0.007560008,0.002205002,0.003465003,0,0.008820009,0.003150003,0.001260001,0.002205002,0.007245007,0.021105021,0.199080199,0.003780004,0.001260001,0.001890002,0.003465003,0.011970012,0.006930007,0,0.030555031,0,0.013230013,0.008190008,0.008505009,0.04032004,0.004095004,0.033705034,0.006300006,0.024570025,0.000630001,0.003150003,0.001260001,0.000630001,0.003150003,0.000630001,0.000630001,0.002835003,0.004725005,0.231840232,0.000945001,0.002835003,0.019215019,0.001575002,0.012915013,0.011970012,0.003465003,0.000630001,0.010710011,0.002520003,0.002835003,0.098595099,0.003150003,0.002520003,0,0.005355005,0.051975052,0.000630001
Bay Street Corridor,Toronto,76,25797,10610,0.411288134,450,0.017443889,13725,0.532038609,12500,0.484552467,13095,0.507617165,1050,75,60,10,85,10,85,85,35,95,325,205,1575,20,20,60,85,50,45,40,80,25,115,55,85,170,40,70,420,220,0,210,50,20,0,75,35,75,155,7180,20,100,2180,485,540,530,40,90,830,65,365,345,55,30,515,125,860,30,0.040702407,0.002907315,0.002325852,0.000387642,0.003294957,0.000387642,0.003294957,0.003294957,0.001356747,0.003682599,0.012598364,0.00794666,0.061053611,0.000775284,0.000775284,0.002325852,0.003294957,0.00193821,0.001744389,0.001550568,0.003101136,0.000969105,0.004457883,0.002132031,0.003294957,0.006589914,0.001550568,0.002713494,0.016280963,0.008528123,0,0.008140481,0.00193821,0.000775284,0,0.002907315,0.001356747,0.002907315,0.006008451,0.278326937,0.000775284,0.00387642,0.08450595,0.018800636,0.020932667,0.020545025,0.001550568,0.003488778,0.032174284,0.002519673,0.014148932,0.013373648,0.002132031,0.001162926,0.019963562,0.004845525,0.03333721,0.001162926
Bayview Village,Toronto,52,21396,7380,0.344924285,200,0.009347542,12920,0.603851187,7585,0.354505515,13565,0.633997009,925,80,100,20,60,0,140,40,45,80,130,245,1650,25,25,35,65,60,105,35,65,20,90,10,360,105,40,85,250,250,10,105,10,10,10,10,10,65,140,9635,85,20,2360,1270,450,2290,65,55,1070,55,105,630,175,20,235,100,675,35,0.04323238,0.003739017,0.004673771,0.000934754,0.002804262,0,0.006543279,0.001869508,0.002103197,0.003739017,0.006075902,0.011450738,0.077117218,0.001168443,0.001168443,0.00163582,0.003037951,0.002804262,0.004907459,0.00163582,0.003037951,0.000934754,0.004206394,0.000467377,0.016825575,0.004907459,0.001869508,0.003972705,0.011684427,0.011684427,0.000467377,0.004907459,0.000467377,0.000467377,0.000467377,0.000467377,0.000467377,0.003037951,0.006543279,0.450317816,0.003972705,0.000934754,0.110300991,0.059356889,0.021031969,0.107029351,0.003037951,0.002570574,0.050009348,0.002570574,0.004907459,0.029444756,0.008179099,0.000934754,0.010983361,0.004673771,0.031547953,0.00163582
Bayview Woods-Steeles,Toronto,49,13154,4575,0.34780295,120,0.0091227,7590,0.577010795,4160,0.316253611,8505,0.646571385,550,0,50,10,90,0,100,15,35,65,105,80,1145,10,15,25,75,45,80,0,70,10,45,30,140,100,20,50,245,140,0,65,0,50,0,0,0,40,100,5570,20,0,1945,920,195,1000,0,35,470,30,70,140,85,25,150,70,385,10,0.041812376,0,0.003801125,0.000760225,0.006842025,0,0.00760225,0.001140338,0.002660788,0.004941463,0.007982363,0.0060818,0.087045766,0.000760225,0.001140338,0.001900563,0.005701688,0.003421013,0.0060818,0,0.005321575,0.000760225,0.003421013,0.002280675,0.01064315,0.00760225,0.00152045,0.003801125,0.018625513,0.01064315,0,0.004941463,0,0.003801125,0,0,0,0.0030409,0.00760225,0.42344534,0.00152045,0,0.147863768,0.069940702,0.014824388,0.076022503,0,0.002660788,0.035730576,0.002280675,0.005321575,0.01064315,0.006461913,0.001900563,0.011403375,0.005321575,0.029268664,0.000760225
Bedford Park-Nortown,Toronto,39,23236,16805,0.723231193,300,0.012911,5520,0.237562403,4360,0.187639869,18755,0.807152694,1120,20,60,35,45,0,90,55,30,30,570,220,2085,0,20,40,160,80,95,50,225,10,170,30,65,175,35,115,455,335,10,55,20,30,55,0,10,190,85,3135,0,0,365,160,125,325,10,10,115,20,40,1410,20,0,40,55,455,30,0.048201067,0.000860733,0.0025822,0.001506283,0.00193665,0,0.0038733,0.002367017,0.0012911,0.0012911,0.0245309,0.009468067,0.089731451,0,0.000860733,0.001721467,0.006885867,0.003442933,0.004088483,0.002151833,0.00968325,0.000430367,0.007316233,0.0012911,0.002797383,0.007531417,0.001506283,0.004949217,0.019581684,0.014417284,0.000430367,0.002367017,0.000860733,0.0012911,0.002367017,0,0.000430367,0.008176967,0.003658117,0.134919952,0,0,0.015708384,0.006885867,0.005379583,0.013986917,0.000430367,0.000430367,0.004949217,0.000860733,0.001721467,0.060681701,0.000860733,0,0.001721467,0.002367017,0.019581684,0.0012911
